multijet_basis0_zzUp   1+( 0.012486)*np.array([ 1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000])
multijet_basis0_zzDown 1+(-0.012486)*np.array([ 1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000])
multijet_basis1_zzUp   1+( 0.016393)*np.array([ 0.5715,  0.4386,  0.3088,  0.1842,  0.0668, -0.0416, -0.1393, -0.2247, -0.2965, -0.3536, -0.3950, -0.4201, -0.4285, -0.4201, -0.3950, -0.3536, -0.2965, -0.2247, -0.1393, -0.0416,  0.0668,  0.1842,  0.3088,  0.4386,  0.5715])
multijet_basis1_zzDown 1+(-0.016393)*np.array([ 0.5715,  0.4386,  0.3088,  0.1842,  0.0668, -0.0416, -0.1393, -0.2247, -0.2965, -0.3536, -0.3950, -0.4201, -0.4285, -0.4201, -0.3950, -0.3536, -0.2965, -0.2247, -0.1393, -0.0416,  0.0668,  0.1842,  0.3088,  0.4386,  0.5715])
multijet_basis2_zzUp   1+( 0.041289)*np.array([-0.0217, -0.0708, -0.1121, -0.1450, -0.1689, -0.1834, -0.1884, -0.1838, -0.1696, -0.1460, -0.1135, -0.0725, -0.0237,  0.0322,  0.0942,  0.1614,  0.2327,  0.3070,  0.3832,  0.4599,  0.5361,  0.6106,  0.6820,  0.7494,  0.8116])
multijet_basis2_zzDown 1+(-0.041289)*np.array([-0.0217, -0.0708, -0.1121, -0.1450, -0.1689, -0.1834, -0.1884, -0.1838, -0.1696, -0.1460, -0.1135, -0.0725, -0.0237,  0.0322,  0.0942,  0.1614,  0.2327,  0.3070,  0.3832,  0.4599,  0.5361,  0.6106,  0.6820,  0.7494,  0.8116])
multijet_basis3_zzUp   1+( 0.020405)*np.array([-0.1704, -0.0910, -0.0136,  0.0551,  0.1098,  0.1462,  0.1621,  0.1567,  0.1313,  0.0888,  0.0338, -0.0280, -0.0900, -0.1454, -0.1871, -0.2089, -0.2057, -0.1736, -0.1106, -0.0165,  0.1067,  0.2554,  0.4239,  0.6052,  0.7911])
multijet_basis3_zzDown 1+(-0.020405)*np.array([-0.1704, -0.0910, -0.0136,  0.0551,  0.1098,  0.1462,  0.1621,  0.1567,  0.1313,  0.0888,  0.0338, -0.0280, -0.0900, -0.1454, -0.1871, -0.2089, -0.2057, -0.1736, -0.1106, -0.0165,  0.1067,  0.2554,  0.4239,  0.6052,  0.7911])
multijet_basis4_zzUp   1+( 0.014762)*np.array([ 0.2090,  0.0252, -0.0907, -0.1461, -0.1511, -0.1180, -0.0604,  0.0082,  0.0751,  0.1295,  0.1631,  0.1710,  0.1516,  0.1073,  0.0437, -0.0303, -0.1034, -0.1625, -0.1939, -0.1843, -0.1215,  0.0042,  0.1994,  0.4672,  0.8061])
multijet_basis4_zzDown 1+(-0.014762)*np.array([ 0.2090,  0.0252, -0.0907, -0.1461, -0.1511, -0.1180, -0.0604,  0.0082,  0.0751,  0.1295,  0.1631,  0.1710,  0.1516,  0.1073,  0.0437, -0.0303, -0.1034, -0.1625, -0.1939, -0.1843, -0.1215,  0.0042,  0.1994,  0.4672,  0.8061])
