multijet_basis0_zzUp   1+( 0.012864)*np.array([ 1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000])
multijet_basis0_zzDown 1+(-0.012864)*np.array([ 1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000])
multijet_basis1_zzUp   1+( 0.019822)*np.array([ 0.6266,  0.4937,  0.3639,  0.2393,  0.1219,  0.0135, -0.0842, -0.1696, -0.2414, -0.2984, -0.3399, -0.3650, -0.3734, -0.3650, -0.3399, -0.2984, -0.2414, -0.1696, -0.0842,  0.0135,  0.1219,  0.2393,  0.3639,  0.4937,  0.6266])
multijet_basis1_zzDown 1+(-0.019822)*np.array([ 0.6266,  0.4937,  0.3639,  0.2393,  0.1219,  0.0135, -0.0842, -0.1696, -0.2414, -0.2984, -0.3399, -0.3650, -0.3734, -0.3650, -0.3399, -0.2984, -0.2414, -0.1696, -0.0842,  0.0135,  0.1219,  0.2393,  0.3639,  0.4937,  0.6266])
multijet_basis2_zzUp   1+( 0.043395)*np.array([-0.0272, -0.0756, -0.1163, -0.1485, -0.1717, -0.1857, -0.1901, -0.1849, -0.1701, -0.1461, -0.1132, -0.0718, -0.0227,  0.0333,  0.0954,  0.1627,  0.2339,  0.3081,  0.3841,  0.4606,  0.5365,  0.6105,  0.6814,  0.7483,  0.8099])
multijet_basis2_zzDown 1+(-0.043395)*np.array([-0.0272, -0.0756, -0.1163, -0.1485, -0.1717, -0.1857, -0.1901, -0.1849, -0.1701, -0.1461, -0.1132, -0.0718, -0.0227,  0.0333,  0.0954,  0.1627,  0.2339,  0.3081,  0.3841,  0.4606,  0.5365,  0.6105,  0.6814,  0.7483,  0.8099])
multijet_basis3_zzUp   1+( 0.021171)*np.array([-0.1967, -0.1166, -0.0382,  0.0322,  0.0889,  0.1281,  0.1472,  0.1456,  0.1244,  0.0864,  0.0361, -0.0210, -0.0785, -0.1295, -0.1675, -0.1862, -0.1806, -0.1470, -0.0834,  0.0103,  0.1322,  0.2787,  0.4441,  0.6217,  0.8033])
multijet_basis3_zzDown 1+(-0.021171)*np.array([-0.1967, -0.1166, -0.0382,  0.0322,  0.0889,  0.1281,  0.1472,  0.1456,  0.1244,  0.0864,  0.0361, -0.0210, -0.0785, -0.1295, -0.1675, -0.1862, -0.1806, -0.1470, -0.0834,  0.0103,  0.1322,  0.2787,  0.4441,  0.6217,  0.8033])
multijet_basis4_zzUp   1+( 0.015964)*np.array([ 0.2399,  0.0549, -0.0652, -0.1271, -0.1402, -0.1161, -0.0674, -0.0070,  0.0532,  0.1029,  0.1344,  0.1428,  0.1266,  0.0879,  0.0321, -0.0326, -0.0956, -0.1447, -0.1669, -0.1497, -0.0818,  0.0460,  0.2400,  0.5028,  0.8331])
multijet_basis4_zzDown 1+(-0.015964)*np.array([ 0.2399,  0.0549, -0.0652, -0.1271, -0.1402, -0.1161, -0.0674, -0.0070,  0.0532,  0.1029,  0.1344,  0.1428,  0.1266,  0.0879,  0.0321, -0.0326, -0.0956, -0.1447, -0.1669, -0.1497, -0.0818,  0.0460,  0.2400,  0.5028,  0.8331])
